location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR(10yr)
ngc6441,9.2,0.38203264,0.85397394,14.876425,15.743232,0.0110250577119104
ngc7078,10,0.23002556,0.7393242,14.573491,16.022712,0.0108245842661736
ngc7078,10,0.3356765,0.7985854,18.318562,19.850308,0.0107077989508963
ngc7078,10,0.2335823,0.7428731,14.573491,16.022712,0.0106492978195135
ngc6656,3.1,5.1102989,0.99189854,15.017643,12.558685,0.0103931982038503
ngc7078,10,0.37377668,0.85093024,14.876425,15.743232,0.0103459710750857
ngc7078,10,0.37913045,0.85291822,14.876425,15.743232,0.0102133282824371
ngc2419,90.4,0.41867638,0.91898729,19.087006,16.587566,0.0100681024487929
ngc104,4.1,0.42443935,0.81676766,17.52498,17.622105,0.0100010701006073
ngc2419,90.4,1.4858342,0.98122876,14.883745,24.711682,0.00966714040228521
ngc2419,90.4,0.45390632,0.92510474,19.087006,16.587566,0.00945846122250781
ngc6934,14.4,0.39288021,0.86583973,15.699217,15.73559,0.00928868097283584
ngc5272,9.7,0.34865812,0.84339545,14.169977,13.447408,0.00872574524830984
ngc2808,8.9,0.4097277,0.76142316,33.503586,22.979194,0.0084708979740556
ngc5927,7,0.21671388,0.67994876,16.283503,13.537561,0.00835130704083894
ngc2419,90.4,0.75296322,0.94471739,19.561224,29.350005,0.00823753498253673
ngc7078,10,0.31318021,0.77112132,19.16144,17.766979,0.00806204438286099
ngc1904,12.2,0.072525599,0.46051361,6.2497338,7.842209,0.00805471929050594
ngc6656,3.1,1.6175116,0.96291418,17.170748,12.732508,0.00800589950246144
ngc5986,10,0.23685954,0.66156485,13.294285,28.189085,0.00786771479179594
ngc6205,6.8,0.39300706,0.84560407,14.169977,13.447408,0.00767475380329913
ngc7089,11.1,0.34865812,0.84339545,14.169977,13.447408,0.00762520080257706
ngc6388,10.9,0.31318021,0.77112132,19.16144,17.766979,0.00739637099345044
ngc6656,3.1,0.28319709,0.62282614,13.287535,28.189085,0.00723227948585304
ngc7089,11.1,0.23368217,0.65766405,13.294285,28.189085,0.00720538242231101
ngc3201,4.9,1.8346005,0.97047105,13.73585,16.660872,0.00719135529010899
ngc6715,25.4,0.84670883,0.94944287,18.235631,14.295169,0.0071091800657951
ngc6715,25.4,0.31671221,0.83848656,15.164972,16.633379,0.00708126722207811
ngc6341,8,0.43561896,0.87367877,12.258291,13.329411,0.00696875922512756
ngc6388,10.9,0.4097277,0.76142316,33.503586,22.979194,0.00691660476780687
ngc6715,25.4,0.70913059,0.93551108,15.530645,17.575803,0.00682410780777456
ngc5824,32.2,0.75865149,0.95920226,12.304534,10.965268,0.00680764793556272
ngc5824,32.2,0.75865149,0.95920226,12.304534,10.965268,0.00680764793556272
ngc6715,25.4,0.70293225,0.93475884,15.530645,17.575803,0.00679735314312864
ngc6715,25.4,0.33215946,0.84555624,15.164972,16.633379,0.00677811020924835
ngc5904,7,0.2984487,0.81471355,12.291346,10.238011,0.00668348508004594
ngc5904,7,0.2984487,0.81471355,12.291346,10.238011,0.00668348508004594
ngc1851,11.7,0.19588138,0.71542784,13.755997,10.30256,0.0062353026881956
ngc6266,6.6,0.42443935,0.81676766,17.52498,17.622105,0.00621278597158939
ngc104,4.1,0.31472258,0.60693732,34.604231,17.557769,0.00607622682939162
ngc6440,7.5,0.24578966,0.82384498,5.5410106,10.913817,0.00601489080596034
ngc6656,3.1,0.38388397,0.77961767,14.75027,14.868473,0.00589460359825964
ngc104,4.1,0.31423492,0.59923113,34.604231,17.557769,0.00565675817500514
ngc104,4.1,1.5361336,0.95552025,14.627648,18.254996,0.00525980898057961
ngc2419,90.4,0.20825894,0.7715249,18.47032,17.787918,0.00524011629985047
ngc6266,6.6,0.58026407,0.87439035,15.331738,17.243892,0.00508279208682207
ngc6266,6.6,0.58296742,0.87494571,15.331738,17.243892,0.0050662137694684
ngc6139,9.1,0.24578966,0.82384498,5.5410106,10.913817,0.00495732758732995
